GROUP,CODE,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO,TC
,,starch,,,,,,,,,,starch
,g_starch_1,"Gluten containing grains (wheat, barley, rye eg pasta, bread, etc","Δημητριακά που περιέχουν γλουτένη (σιτάρι, κριθάρι, σίκαλη π.χ. Ζυμαρικά, ψωμί κτλ)","Zboża zawierające gluten (pszenica, jęczmień, żyto) np. makaron, chleb, kasza manna","Cereali contenenti glutine (grano, orzo, segale, ad esempio pasta, pane, ecc","Granos que contienen gluten (trigo, cebada, centeno, por ejemplo, pasta, pan, etc.)","Glutenhaltiges Getreide (Weizen, Gerste, Roggen, z. B. Nudeln, Brot usw.)","Cereais contendo glúten (trigo, cevada, centeio, por exemplo, mass, pão, etc.)","Gluten bevattende granen (tarwe, gerst, rogge, bijvoorbeeld verwerkt in brood, pasta ","Céréales contenant du gluten (blé, orge, seigle, par exemple pâtes, pain, etc.)","Cereale care conțin gluten (grâu, orz, secară, de exemplu paste, pâine etc.)",含有麩質的穀物（小麥、大麥、黑麥，例如意粉、麵包等）
,g_starch_2,"Gluten free cereals (buckwheat, quinoa, oat)","Δημητριακά χωρίς γλουτένη (φαγόπυρο, κινόα, βρώμη)","Zboża bezglutenowe (kasza gryczana, komosa ryżowa, owies)","Cereali senza glutine (grano saraceno, kinoa, avena)","Cereales sin gluten (trigo sarraceno, quinoa, avena)","Glutenfreies Getreide (Buchweizen, Quinoa, Hafer)","Cereais sem glúten (trigo sarraceno, quinoa, aveia)","Glutenvrije granen (boekweit, quinoa, haver)","Céréales sans gluten (sarrasin, quinoa, avoine)","Cereale fără gluten (hrișcă, quinoa, ovăz)",無麩質的穀物（蕎麥、藜麥、燕麥）
,g_starch_3,"Maize products (i.e. pollenta, baby maize snacks)","Προϊόντα καλαμποκιού (κρέμα αραβοσίτου,  παιδικά σνακ με καλαμποκι)",Produkty z kukurydzy (np. chrupki kukurydziane),"Prodotti a base di mais (crema di mais, snack di mais per bambini)","Productos de maíz (crema de maíz, snacks de maíz para niños)","Maisprodukte (Maiscreme, Maissnacks für Kinder)","Produtos de milho (creme de milho, salgadinhos de milho para crianças)","Mais producten (bijvoorbeel polenta, baby mais snacks)","Produits à base de maïs (comme la polenta, les snacks de maïs pour bébés)","Produse din porumb (cremă de porumb, gustări pentru copii)",粟米產品（即粟米粥、嬰兒粟米小食)
,g_starch_4,"Potato, Sweet potato","Πατάτα, Γλυκοπατάτα","Ziemniak, Słodkie ziemniaki","Patate, Patate Dolci","patata, patatas dulces","Kartoffel, Süßkartoffeln","Batata, Batata Doce","Aardappel, zoete aardappel","Pomme de terre, patate douce","Cartof, cartof dulce",薯仔、蕃薯
,g_starch_5,Rice (including rice flour),Ρύζι (συμπεριλαμβανομένου του αλεύρου ρυζιού),Ryż (w tym mąka ryżowa),Riso (compresa la farina di riso),Arroz (incluida la harina de arroz),Reis (einschließlich Reismehl),Arroz (incluindo farinha de arroz),Rijst (inclusief rijstebloem),Riz (y compris la farine de riz),Orez (inclusiv faina de orez),米（包括米粉/米漿製的食物）
,g_starch_6,Rice pudding (containing milk) ,Ρυζόγαλο,Pudding ryżowy (zawierający mleko),Budino di riso (contenente latte),Arroz con leche (que contiene leche),Milchreis (mit Milch) ,Pudim de arroz (contendo leite) ,Rijstpudding (op melkbasis),Riz au lait (contenant du lait),Crema de orez /Orez in lapte (contine lapte),米布甸（含有牛奶)
,g_starch_7,Semolina pudding (containing milk,Κρέμα με σιμιγδάλι (περιεχει γάλα),Pudding / krem z kaszy manny (zawierający mleko),Crema di semolino (contiene latte),Nata con sémola (contiene leche),Sahne mit Grieß (enthält Milch),Pudim de semolina (contém leite),Semolina pudding (op melkbasis0,Semoule au lait (contenant du lait),Crema de gris / gris cu lapte (contine lapte),
,g_starch_8,Trahanas,Τραχανάς,Trahanas,Trahanas,Trahanas,Trahanas,Trahanas,Trahanas,Trahanas,Trahana,
,,,,,,,,,,,,
